itemid,                    name, sell_single, buy_single, price_single, stock_single, sell_stacks, buy_stacks, price_stacks, stock_stacks
2,              simple_bed,1,1,1,99,0,1,1,99
3,                 oak_bed,1,1,1,99,0,1,1,99
4,            mahogany_bed,1,1,1,99,0,1,1,99
5,              bronze_bed,1,1,1,99,0,1,1,99
6,              nobles_bed,1,1,1,99,0,1,1,99
8,               royal_bed,1,1,1,99,0,1,1,99
21,                    desk,1,1,1,99,0,1,1,99
22,               workbench,1,1,1,99,0,1,1,99
23,             maple_table,1,1,1,99,0,1,1,99
24,               oak_table,1,1,1,99,0,1,1,99
26,           tarutaru_desk,1,1,1,99,0,1,1,99
29,              secretaire,1,1,1,99,0,1,1,99
30,                  bureau,1,1,1,99,0,1,1,99
32,                 dresser,1,1,1,99,0,1,1,99
33,        millionaire_desk,1,1,1,99,0,1,1,99
43,              wicker_box,1,1,1,99,0,1,1,99
46,               armor_box,1,1,1,99,0,1,1,99
49,                  coffer,1,1,1,99,0,1,1,99
51,                   chest,1,1,1,99,0,1,1,99
55,                 cabinet,1,1,1,99,0,1,1,99
56,                 commode,1,1,1,99,0,1,1,99
59,              chiffonier,1,1,1,99,0,1,1,99
61,                 armoire,1,1,1,99,0,1,1,99
76,         royal_bookshelf,1,1,1,99,0,1,1,99
77,               bookshelf,1,1,1,99,0,1,1,99
86,         san_dorian_tree,1,1,1,99,0,1,1,99
87,               kadomatsu,1,1,1,99,0,1,1,99
90,            rusty_bucket,1,1,1,99,0,1,1,99
91,            blue_pitcher,1,1,1,99,0,1,1,99
92,          tarutaru_stool,1,1,1,99,0,1,1,99
93,              water_cask,1,1,1,99,0,1,1,99
95,            water_barrel,1,1,1,99,0,1,1,99
96,         beverage_barrel,1,1,1,99,0,1,1,99
97,             book_holder,1,1,1,99,0,1,1,99
98,         scimitar_cactus,1,1,1,99,0,1,1,99
99,            elshimo_palm,1,1,1,99,0,1,1,99
100,              okadomatsu,1,1,1,99,0,1,1,99
102,            flower_stand,1,1,1,99,0,1,1,99
103,           goldfish_bowl,1,1,1,99,0,1,1,99
104,          taru_f._screen,1,1,1,99,0,1,1,99
107,               water_jug,1,1,1,99,0,1,1,99
109,                     urn,1,1,1,99,0,1,1,99
110,               white_jar,1,1,1,99,0,1,1,99
